filepath,language,speaker_id,duration,split
hindi_stitched_0000.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0001.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0002.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0003.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0004.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0005.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0006.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0007.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0008.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0009.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0010.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0011.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0012.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0013.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0014.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0015.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0016.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0017.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0018.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0019.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0020.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0021.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0022.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0023.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0024.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0025.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0026.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0027.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0028.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0029.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0030.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0031.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0032.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0033.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0034.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0035.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0036.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0037.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0038.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0039.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0040.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0041.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0042.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0043.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0044.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0045.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0046.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0047.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0048.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0049.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0050.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0051.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0052.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0053.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0054.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0055.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0056.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0057.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0058.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0059.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0060.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0061.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0062.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0063.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0064.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0065.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0066.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0067.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0068.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0069.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0070.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0071.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0072.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0073.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0074.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0075.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0076.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0077.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0078.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0079.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0080.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0081.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0082.wav,hindi,stitched_hindi,30.0,train
hindi_stitched_0083.wav,hindi,stitched_hindi,30.0,train
